Designator,Mid X,Mid Y,Rotation,Layer
R63,210.99,-195,0,T
R64,222.5,-255,-90,T
R65,252.5,-255,-90,T
R66,282.5,-255,-90,T
R67,312.5,-255,-90,T
R68,342.5,-255.01,-90,T
R69,372.5,-255,-90,T
R70,402.5,-255,-90,T
R71,432.5,-255,-90,T
R72,215.5,-198,-90,T
R73,210.99,-225,0,T
R74,222.5,-285.01,-90,T
R75,252.5,-285,-90,T
R76,282.5,-285.01,-90,T
R77,312.5,-285.01,-90,T
R78,342.5,-285,-90,T
R79,372.5,-285,-90,T
R80,402.5,-285,-90,T
R81,432.5,-284.99,-90,T
R82,215.5,-228,-90,T
R83,210.99,-255,0,T
R84,215.5,-258,-90,T
R85,210.99,-285,0,T
R86,215.5,-288,-90,T
RV1,285,-345,0,T
U1,450.2,-339.82,-90,T
U2,441.2,-331.1075,0,T
U3,454.1625,-330.07,180,T
U4,375,-330,0,T
U5,405,-330,0,T
U6,405,-315,0,T
U7,225,-75,0,T
U8,255,-75,0,T
U9,285,-75,0,T
U10,315,-75,0,T
U11,345,-75,0,T
U12,375,-75,0,T
U13,405,-75,0,T
U14,435,-75,0,T
U15,225,-105,0,T
U16,255,-105,0,T
U17,285,-105,0,T
U18,315,-105,0,T
U19,345,-105,0,T
U20,375,-105,0,T
U21,405,-105,0,T
U22,435,-105,0,T
U23,225,-135,0,T
U24,255,-135,0,T
U25,285,-135,0,T
U26,315,-135,0,T
U27,345,-135,0,T
U28,375,-135,0,T
U29,405,-135,0,T
U30,435,-135,0,T
U31,225,-165,0,T
U32,255,-165,0,T
U33,285,-165,0,T
U34,315,-165,0,T
U35,345,-165,0,T
U36,375,-165,0,T
U37,405,-165,0,T
U38,435,-165,0,T
U39,225,-195,0,T
U40,255,-195,0,T
U41,285,-195,0,T
U42,315,-195,0,T
U43,345,-195,0,T
U44,375,-195,0,T
U45,405,-195,0,T
U46,435,-195,0,T
U47,225,-315,0,T
U48,225,-225,0,T
U49,255,-225,0,T
U50,285,-225,0,T
U51,315,-225,0,T
U52,345,-225,0,T
U53,375,-225,0,T
U54,405,-225,0,T
U55,435,-225,0,T
U56,225,-255,0,T
U57,255,-255,0,T
U58,285,-255,0,T
U59,315,-255,0,T
U60,345,-255,0,T
U61,375,-255,0,T
U62,405,-255,0,T
U63,435,-255,0,T
U64,225,-330,0,T
U65,225,-285,0,T
U66,255,-285,0,T
U67,285,-285,0,T
U68,315,-285,0,T
U69,345,-285,0,T
U70,375,-285,0,T
U71,405,-285,0,T
U72,435,-285,0,T
U73,285,-330,0,T
U74,225,-300,0,T
U75,255,-300,0,T
U76,285,-300,0,T
U77,315,-300,0,T
U78,345,-300,0,T
U79,375,-300,0,T
U80,405,-300,0,T
U81,435,-300,0,T
Y1,430.1,-330.2075,-90,T
